check_name,path,status,details
python py_compile,thesis_exp/src/edujudge/exp09_pairwise_ordinal/losses.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp09_pairwise_ordinal/train_qdpr2_anchored_pairwise.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp10_qdpr2_module_ablation/__init__.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp10_qdpr2_module_ablation/collect_exp10_results.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp10_qdpr2_module_ablation/sanity_check_exp10_setup.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp10_qdpr2_module_ablation/readability_check_exp10.py,PASS,
shell bash -n,thesis_exp/scripts/run_exp10_qdpr2_module_ablation.sh,PASS,
shell bash -n,thesis_exp/scripts/sync_exp10_qdpr2_module_ablation_to_server.sh,PASS,
no CRLF line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/losses.py,PASS,
no CR-only line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/losses.py,PASS,
LF line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/losses.py,PASS,
first line <= 1000 chars,thesis_exp/src/edujudge/exp09_pairwise_ordinal/losses.py,PASS,65
not collapsed-line file,thesis_exp/src/edujudge/exp09_pairwise_ordinal/losses.py,PASS,426
no CRLF line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/train_qdpr2_anchored_pairwise.py,PASS,
no CR-only line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/train_qdpr2_anchored_pairwise.py,PASS,
LF line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/train_qdpr2_anchored_pairwise.py,PASS,
first line <= 1000 chars,thesis_exp/src/edujudge/exp09_pairwise_ordinal/train_qdpr2_anchored_pairwise.py,PASS,68
not collapsed-line file,thesis_exp/src/edujudge/exp09_pairwise_ordinal/train_qdpr2_anchored_pairwise.py,PASS,872
no CRLF line endings,thesis_exp/src/edujudge/exp10_qdpr2_module_ablation/__init__.py,PASS,
no CR-only line endings,thesis_exp/src/edujudge/exp10_qdpr2_module_ablation/__init__.py,PASS,
LF line endings,thesis_exp/src/edujudge/exp10_qdpr2_module_ablation/__init__.py,PASS,
first line <= 1000 chars,thesis_exp/src/edujudge/exp10_qdpr2_module_ablation/__init__.py,PASS,45
not collapsed-line file,thesis_exp/src/edujudge/exp10_qdpr2_module_ablation/__init__.py,PASS,77
no CRLF line endings,thesis_exp/src/edujudge/exp10_qdpr2_module_ablation/collect_exp10_results.py,PASS,
no CR-only line endings,thesis_exp/src/edujudge/exp10_qdpr2_module_ablation/collect_exp10_results.py,PASS,
LF line endings,thesis_exp/src/edujudge/exp10_qdpr2_module_ablation/collect_exp10_results.py,PASS,
first line <= 1000 chars,thesis_exp/src/edujudge/exp10_qdpr2_module_ablation/collect_exp10_results.py,PASS,51
not collapsed-line file,thesis_exp/src/edujudge/exp10_qdpr2_module_ablation/collect_exp10_results.py,PASS,379
no CRLF line endings,thesis_exp/src/edujudge/exp10_qdpr2_module_ablation/sanity_check_exp10_setup.py,PASS,
no CR-only line endings,thesis_exp/src/edujudge/exp10_qdpr2_module_ablation/sanity_check_exp10_setup.py,PASS,
LF line endings,thesis_exp/src/edujudge/exp10_qdpr2_module_ablation/sanity_check_exp10_setup.py,PASS,
first line <= 1000 chars,thesis_exp/src/edujudge/exp10_qdpr2_module_ablation/sanity_check_exp10_setup.py,PASS,62
not collapsed-line file,thesis_exp/src/edujudge/exp10_qdpr2_module_ablation/sanity_check_exp10_setup.py,PASS,147
no CRLF line endings,thesis_exp/src/edujudge/exp10_qdpr2_module_ablation/readability_check_exp10.py,PASS,
no CR-only line endings,thesis_exp/src/edujudge/exp10_qdpr2_module_ablation/readability_check_exp10.py,PASS,
LF line endings,thesis_exp/src/edujudge/exp10_qdpr2_module_ablation/readability_check_exp10.py,PASS,
first line <= 1000 chars,thesis_exp/src/edujudge/exp10_qdpr2_module_ablation/readability_check_exp10.py,PASS,64
not collapsed-line file,thesis_exp/src/edujudge/exp10_qdpr2_module_ablation/readability_check_exp10.py,PASS,160
shell first line is bash shebang,thesis_exp/scripts/run_exp10_qdpr2_module_ablation.sh,PASS,#!/usr/bin/env bash
shell second line is strict mode,thesis_exp/scripts/run_exp10_qdpr2_module_ablation.sh,PASS,set -euo pipefail
no CRLF line endings,thesis_exp/scripts/run_exp10_qdpr2_module_ablation.sh,PASS,
no CR-only line endings,thesis_exp/scripts/run_exp10_qdpr2_module_ablation.sh,PASS,
LF line endings,thesis_exp/scripts/run_exp10_qdpr2_module_ablation.sh,PASS,
first line <= 1000 chars,thesis_exp/scripts/run_exp10_qdpr2_module_ablation.sh,PASS,19
not collapsed-line file,thesis_exp/scripts/run_exp10_qdpr2_module_ablation.sh,PASS,212
shell first line is bash shebang,thesis_exp/scripts/sync_exp10_qdpr2_module_ablation_to_server.sh,PASS,#!/usr/bin/env bash
shell second line is strict mode,thesis_exp/scripts/sync_exp10_qdpr2_module_ablation_to_server.sh,PASS,set -euo pipefail
no CRLF line endings,thesis_exp/scripts/sync_exp10_qdpr2_module_ablation_to_server.sh,PASS,
no CR-only line endings,thesis_exp/scripts/sync_exp10_qdpr2_module_ablation_to_server.sh,PASS,
LF line endings,thesis_exp/scripts/sync_exp10_qdpr2_module_ablation_to_server.sh,PASS,
first line <= 1000 chars,thesis_exp/scripts/sync_exp10_qdpr2_module_ablation_to_server.sh,PASS,19
not collapsed-line file,thesis_exp/scripts/sync_exp10_qdpr2_module_ablation_to_server.sh,PASS,55
no CRLF line endings,thesis_exp/configs/exp10_qdpr2_module_ablation/exp10_full_qdpr2.yaml,PASS,
no CR-only line endings,thesis_exp/configs/exp10_qdpr2_module_ablation/exp10_full_qdpr2.yaml,PASS,
LF line endings,thesis_exp/configs/exp10_qdpr2_module_ablation/exp10_full_qdpr2.yaml,PASS,
no CRLF line endings,thesis_exp/configs/exp10_qdpr2_module_ablation/exp10_no_anchor.yaml,PASS,
no CR-only line endings,thesis_exp/configs/exp10_qdpr2_module_ablation/exp10_no_anchor.yaml,PASS,
LF line endings,thesis_exp/configs/exp10_qdpr2_module_ablation/exp10_no_anchor.yaml,PASS,
no CRLF line endings,thesis_exp/configs/exp10_qdpr2_module_ablation/exp10_no_mono.yaml,PASS,
no CR-only line endings,thesis_exp/configs/exp10_qdpr2_module_ablation/exp10_no_mono.yaml,PASS,
LF line endings,thesis_exp/configs/exp10_qdpr2_module_ablation/exp10_no_mono.yaml,PASS,
no CRLF line endings,thesis_exp/configs/exp10_qdpr2_module_ablation/exp10_no_pair.yaml,PASS,
no CR-only line endings,thesis_exp/configs/exp10_qdpr2_module_ablation/exp10_no_pair.yaml,PASS,
LF line endings,thesis_exp/configs/exp10_qdpr2_module_ablation/exp10_no_pair.yaml,PASS,
no CRLF line endings,thesis_exp/configs/exp10_qdpr2_module_ablation/exp10_no_point_diagnostic.yaml,PASS,
no CR-only line endings,thesis_exp/configs/exp10_qdpr2_module_ablation/exp10_no_point_diagnostic.yaml,PASS,
LF line endings,thesis_exp/configs/exp10_qdpr2_module_ablation/exp10_no_point_diagnostic.yaml,PASS,
no CRLF line endings,thesis_exp/configs/exp10_qdpr2_module_ablation/exp10_point_only.yaml,PASS,
no CR-only line endings,thesis_exp/configs/exp10_qdpr2_module_ablation/exp10_point_only.yaml,PASS,
LF line endings,thesis_exp/configs/exp10_qdpr2_module_ablation/exp10_point_only.yaml,PASS,
Markdown max prose line length,thesis_exp/outputs/exp10_qdpr2_module_ablation/readability_check_exp10.md,PASS,25
no CRLF line endings,thesis_exp/outputs/exp10_qdpr2_module_ablation/readability_check_exp10.md,PASS,
no CR-only line endings,thesis_exp/outputs/exp10_qdpr2_module_ablation/readability_check_exp10.md,PASS,
LF line endings,thesis_exp/outputs/exp10_qdpr2_module_ablation/readability_check_exp10.md,PASS,
first line <= 1000 chars,thesis_exp/outputs/exp10_qdpr2_module_ablation/readability_check_exp10.md,PASS,25
not collapsed-line file,thesis_exp/outputs/exp10_qdpr2_module_ablation/readability_check_exp10.md,PASS,140
not large one-line md/csv,thesis_exp/outputs/exp10_qdpr2_module_ablation/readability_check_exp10.md,PASS,lines=140; bytes=15485
Markdown max prose line length,thesis_exp/outputs/exp10_qdpr2_module_ablation/reports/exp10_ablation_summary.md,PASS,98
no CRLF line endings,thesis_exp/outputs/exp10_qdpr2_module_ablation/reports/exp10_ablation_summary.md,PASS,
no CR-only line endings,thesis_exp/outputs/exp10_qdpr2_module_ablation/reports/exp10_ablation_summary.md,PASS,
LF line endings,thesis_exp/outputs/exp10_qdpr2_module_ablation/reports/exp10_ablation_summary.md,PASS,
first line <= 1000 chars,thesis_exp/outputs/exp10_qdpr2_module_ablation/reports/exp10_ablation_summary.md,PASS,38
not collapsed-line file,thesis_exp/outputs/exp10_qdpr2_module_ablation/reports/exp10_ablation_summary.md,PASS,21
not large one-line md/csv,thesis_exp/outputs/exp10_qdpr2_module_ablation/reports/exp10_ablation_summary.md,PASS,lines=21; bytes=1300
Markdown max prose line length,thesis_exp/outputs/exp10_qdpr2_module_ablation/reports/exp10_method_plan.md,PASS,99
no CRLF line endings,thesis_exp/outputs/exp10_qdpr2_module_ablation/reports/exp10_method_plan.md,PASS,
no CR-only line endings,thesis_exp/outputs/exp10_qdpr2_module_ablation/reports/exp10_method_plan.md,PASS,
LF line endings,thesis_exp/outputs/exp10_qdpr2_module_ablation/reports/exp10_method_plan.md,PASS,
first line <= 1000 chars,thesis_exp/outputs/exp10_qdpr2_module_ablation/reports/exp10_method_plan.md,PASS,35
not collapsed-line file,thesis_exp/outputs/exp10_qdpr2_module_ablation/reports/exp10_method_plan.md,PASS,47
