template_name,ablation_id,status,split,metric_canonical,n,Accuracy,Exact Match,MAE_label,MAE_expected,RMSE_label,Signed Bias label,Signed Bias expected,Macro-F1,Weighted-F1,Quadratic Weighted Kappa,Kendall tau,Spearman rho,Within-1 Accuracy,Acc@1,Acc@2,Acc@5,low_n,low_exact_match,low_MAE,low_signed_bias,low_to_high_rate,low_severe_overestimation_rate,mean_pred_low,high_n,high_to_mid_or_low_rate,high_signed_bias
A2_question_answer_metric,A2,reused_exp02,dev,Basic Factual Accuracy,83,0.7831325301204819,0.7831325301204819,0.31726907630522083,0.32059790867460974,0.6241460028965394,0.15662650602409633,0.044586075824685864,0.2318840579710145,0.7752750130958617,0.3536097663649759,0.37593909399749054,0.39891606846285027,0.963855421686747,0.0,0.0,0.8985507246376812,3,0.0,2.555555555555556,2.555555555555556,1.0,1.0,4.333333333333333,69,0.0,-9.01050570710272e-17
A2_question_answer_metric,A2,reused_exp02,dev,"Clarity, Simplicity & Inspiration",47,0.6170212765957447,0.6170212765957447,0.44680851063829785,0.3671024622843828,0.6014167670256413,0.12056737588652482,0.0312151418871405,0.2574415131906421,0.5894326594156085,0.3062730627306274,0.3777477332962081,0.42095613675870214,0.9574468085106383,nan,0.0,0.65,1,0.0,1.6666666666666665,1.6666666666666665,1.0,1.0,4.0,20,0.0,-0.11666666666666688
A2_question_answer_metric,A2,reused_exp02,dev,Content Relevance & Scope Control,76,0.8026315789473685,0.8026315789473685,0.2894736842105262,0.30480978721095847,0.4459040360399591,0.12280701754385963,-0.012163000197648377,0.3028923660502608,0.7852062588904695,0.52,0.5129070318465422,0.5575016965315472,0.9868421052631579,nan,nan,0.9074074074074074,0,nan,nan,nan,nan,nan,nan,54,0.0,0.043209876543209756
A2_question_answer_metric,A2,reused_exp02,dev,Domain Knowledge Accuracy,33,0.7575757575757576,0.7575757575757576,0.42424242424242414,0.36610586598588707,0.6409168516854669,0.12121212121212124,0.026330982476241816,0.3125,0.7348484848484849,0.3205882352941176,0.36721529465950853,0.4089695058768404,0.9393939393939394,nan,nan,0.8,0,nan,nan,nan,nan,nan,nan,15,0.0,-0.02222222222222238
A2_question_answer_metric,A2,reused_exp02,dev,Error Identification & Correction Precision,34,0.7352941176470589,0.7352941176470589,0.41176470588235287,0.3883437522453474,0.6859943405700353,0.27450980392156865,0.054182150912560685,0.3027777777777778,0.7038398692810458,0.6718146718146718,0.6136768721209978,0.6677476902895119,0.9411764705882353,0.0,0.0,0.9090909090909091,2,0.0,1.6666666666666665,1.6666666666666665,0.0,0.5,3.0,22,0.0,0.015151515151515057
A2_question_answer_metric,A2,reused_exp02,dev,Higher-Order Thinking & Skill Development,45,0.5777777777777777,0.5777777777777777,0.4888888888888887,0.4205756089189824,0.6629526173411688,0.05925925925925925,-0.040407304563538034,0.4543157894736842,0.5571617933723196,0.48793809740555305,0.46142429815373814,0.5338757860781003,0.9555555555555556,nan,0.5,0.5,2,0.5,1.1666666666666667,0.8333333333333333,0.5,0.5,3.0,12,0.08333333333333333,-0.3611111111111113
A2_question_answer_metric,A2,reused_exp02,dev,Instruction Following & Task Completion,124,0.6935483870967742,0.6935483870967742,0.42741935483870963,0.41238619159699974,0.6537731677261691,0.11021505376344085,-0.0024403973618066393,0.5473846153846154,0.6775806451612902,0.5279580629056415,0.4733549162426779,0.5293314497860417,0.9516129032258065,1.0,0.0,0.78125,4,0.25,1.6666666666666665,1.6666666666666665,0.75,0.75,3.5,64,0.0,-0.05729166666666681
A2_question_answer_metric,A2,reused_exp02,dev,"Motivation, Guidance & Positive Feedback",44,0.5681818181818182,0.5681818181818182,0.553030303030303,0.4470814496987231,0.7537783614444089,0.037878787878787894,-0.047135367960463824,0.33164335664335665,0.5570565797838525,0.39560439560439553,0.47609603001120454,0.5525399664310282,0.9545454545454546,nan,0.0,0.6428571428571429,2,0.0,2.333333333333333,2.333333333333333,1.0,1.0,4.5,14,0.0,-0.14285714285714304
A2_question_answer_metric,A2,reused_exp02,dev,"Personalization, Adaptation & Learning Support",41,0.7804878048780488,0.7804878048780488,0.3495934959349593,0.2784544038591051,0.5020284058947294,0.0894308943089431,0.037947681762526074,0.4185355862775218,0.7674871679592372,0.6485714285714286,0.6408578292635554,0.714733853120974,0.975609756097561,nan,nan,0.8125,0,nan,nan,nan,nan,nan,nan,16,0.0,-0.02083333333333348
A2_question_answer_metric,A2,reused_exp02,dev,Reasoning Process Rigor,48,0.625,0.625,0.46527777777777785,0.48673590780476345,0.7438015466108825,0.0902777777777778,-0.06598693783406713,0.4725763125763125,0.6166971916971916,0.6963350785340314,0.6038313326218283,0.6904955020562596,0.9583333333333334,0.6666666666666666,0.0,0.7142857142857143,4,0.5,1.1666666666666665,1.1666666666666665,0.5,0.5,2.5,21,0.0,-0.22222222222222227
