check_name,path,status,details
python py_compile,thesis_exp/src/edujudge/exp09_pairwise_ordinal/__init__.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp09_pairwise_ordinal/collect_exp09_results.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp09_pairwise_ordinal/data.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp09_pairwise_ordinal/losses.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp09_pairwise_ordinal/metrics.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp09_pairwise_ordinal/pair_builder.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp09_pairwise_ordinal/readability_check_exp09.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp09_pairwise_ordinal/sanity_check_exp09_setup.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp09_pairwise_ordinal/train_qdpr1_pairwise.py,PASS,
shell bash -n,thesis_exp/scripts/run_exp09_qdpr1_smoke.sh,PASS,
shell bash -n,thesis_exp/scripts/run_exp09_qdpr1_train.sh,PASS,
shell bash -n,thesis_exp/scripts/sync_exp09_qdpr1_to_server.sh,PASS,
no CRLF line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/__init__.py,PASS,
no CR-only line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/__init__.py,PASS,
LF line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/__init__.py,PASS,
first line <= 1000 chars,thesis_exp/src/edujudge/exp09_pairwise_ordinal/__init__.py,PASS,58
not collapsed-line file,thesis_exp/src/edujudge/exp09_pairwise_ordinal/__init__.py,PASS,99
file size below 20MB,thesis_exp/src/edujudge/exp09_pairwise_ordinal/__init__.py,PASS,3173
not checkpoint/weight artifact,thesis_exp/src/edujudge/exp09_pairwise_ordinal/__init__.py,PASS,
no API key string,thesis_exp/src/edujudge/exp09_pairwise_ordinal/__init__.py,PASS,
no CRLF line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/collect_exp09_results.py,PASS,
no CR-only line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/collect_exp09_results.py,PASS,
LF line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/collect_exp09_results.py,PASS,
first line <= 1000 chars,thesis_exp/src/edujudge/exp09_pairwise_ordinal/collect_exp09_results.py,PASS,82
not collapsed-line file,thesis_exp/src/edujudge/exp09_pairwise_ordinal/collect_exp09_results.py,PASS,344
file size below 20MB,thesis_exp/src/edujudge/exp09_pairwise_ordinal/collect_exp09_results.py,PASS,12136
not checkpoint/weight artifact,thesis_exp/src/edujudge/exp09_pairwise_ordinal/collect_exp09_results.py,PASS,
no API key string,thesis_exp/src/edujudge/exp09_pairwise_ordinal/collect_exp09_results.py,PASS,
no CRLF line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/data.py,PASS,
no CR-only line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/data.py,PASS,
LF line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/data.py,PASS,
first line <= 1000 chars,thesis_exp/src/edujudge/exp09_pairwise_ordinal/data.py,PASS,57
not collapsed-line file,thesis_exp/src/edujudge/exp09_pairwise_ordinal/data.py,PASS,162
file size below 20MB,thesis_exp/src/edujudge/exp09_pairwise_ordinal/data.py,PASS,6164
not checkpoint/weight artifact,thesis_exp/src/edujudge/exp09_pairwise_ordinal/data.py,PASS,
no API key string,thesis_exp/src/edujudge/exp09_pairwise_ordinal/data.py,PASS,
no CRLF line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/losses.py,PASS,
no CR-only line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/losses.py,PASS,
LF line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/losses.py,PASS,
first line <= 1000 chars,thesis_exp/src/edujudge/exp09_pairwise_ordinal/losses.py,PASS,65
not collapsed-line file,thesis_exp/src/edujudge/exp09_pairwise_ordinal/losses.py,PASS,227
file size below 20MB,thesis_exp/src/edujudge/exp09_pairwise_ordinal/losses.py,PASS,9459
not checkpoint/weight artifact,thesis_exp/src/edujudge/exp09_pairwise_ordinal/losses.py,PASS,
no API key string,thesis_exp/src/edujudge/exp09_pairwise_ordinal/losses.py,PASS,
no CRLF line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/metrics.py,PASS,
no CR-only line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/metrics.py,PASS,
LF line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/metrics.py,PASS,
first line <= 1000 chars,thesis_exp/src/edujudge/exp09_pairwise_ordinal/metrics.py,PASS,74
not collapsed-line file,thesis_exp/src/edujudge/exp09_pairwise_ordinal/metrics.py,PASS,174
file size below 20MB,thesis_exp/src/edujudge/exp09_pairwise_ordinal/metrics.py,PASS,7741
not checkpoint/weight artifact,thesis_exp/src/edujudge/exp09_pairwise_ordinal/metrics.py,PASS,
no API key string,thesis_exp/src/edujudge/exp09_pairwise_ordinal/metrics.py,PASS,
no CRLF line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/pair_builder.py,PASS,
no CR-only line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/pair_builder.py,PASS,
LF line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/pair_builder.py,PASS,
first line <= 1000 chars,thesis_exp/src/edujudge/exp09_pairwise_ordinal/pair_builder.py,PASS,50
not collapsed-line file,thesis_exp/src/edujudge/exp09_pairwise_ordinal/pair_builder.py,PASS,387
minimum line count,thesis_exp/src/edujudge/exp09_pairwise_ordinal/pair_builder.py,PASS,lines=387; min>180
file size below 20MB,thesis_exp/src/edujudge/exp09_pairwise_ordinal/pair_builder.py,PASS,15724
not checkpoint/weight artifact,thesis_exp/src/edujudge/exp09_pairwise_ordinal/pair_builder.py,PASS,
no API key string,thesis_exp/src/edujudge/exp09_pairwise_ordinal/pair_builder.py,PASS,
no CRLF line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/readability_check_exp09.py,PASS,
no CR-only line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/readability_check_exp09.py,PASS,
LF line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/readability_check_exp09.py,PASS,
first line <= 1000 chars,thesis_exp/src/edujudge/exp09_pairwise_ordinal/readability_check_exp09.py,PASS,51
not collapsed-line file,thesis_exp/src/edujudge/exp09_pairwise_ordinal/readability_check_exp09.py,PASS,214
minimum line count,thesis_exp/src/edujudge/exp09_pairwise_ordinal/readability_check_exp09.py,PASS,lines=214; min>100
file size below 20MB,thesis_exp/src/edujudge/exp09_pairwise_ordinal/readability_check_exp09.py,PASS,8362
not checkpoint/weight artifact,thesis_exp/src/edujudge/exp09_pairwise_ordinal/readability_check_exp09.py,PASS,
no API key string,thesis_exp/src/edujudge/exp09_pairwise_ordinal/readability_check_exp09.py,PASS,
