variant,split,boundary_key,n,question_key_count,metric_count,std_tau1,std_tau2,std_tau3,std_tau4,mean_abs_tau_diff,p50_abs_tau_diff,p90_abs_tau_diff,p95_abs_tau_diff,p99_abs_tau_diff,max_abs_tau_diff,max_diff_tau_index,example_sample_ids,example_question_keys,example_metrics
metric_rubric,dev,134fe8be716fe6dc497b2f2eaefdaab9a6304047,65,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tau1,"[""0bf50da591b0093b48a6b1069868c7a60c1dce30"", ""12bcd4b81301c8060ad287927889a9a1b7c967ea"", ""153a4b8462651307f2ce3e7e1c711c6b567062cb"", ""1635c38594f892a587564cc33f944325faa2fb17"", ""1b76ad30062f7fbff6f46a2e5b8183da200a2122""]","[""d04e77ea904a8a27d914aadf24446d13fcf617b1"", ""e9eed454440c46c02b5f277a4e07dca9df17a713"", ""e4d01b85df4567e5140f2b386f947d196784e009"", ""cfb26a1ae869d03990b3020ce7e70075cd0c65dc"", ""d04e77ea904a8a27d914aadf24446d13fcf617b1""]","[""Scenario Element Integration"", ""Scenario Element Integration"", ""Scenario Element Integration"", ""Scenario Element Integration"", ""Scenario Element Integration""]"
metric_rubric,dev,1dcaf86669d40ba279a26c1239f034ecba2cc02b,55,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tau1,"[""0c474f400c448567de8227ed48f24250fd39fc03"", ""11016d742fce73e51065518f84a28f9aa10fcebb"", ""111169cd461add4443b69738a5952b0cb49aabab"", ""130b9044b1debd72bd2bb3dabbcfc7081a1966bc"", ""134eaa403105a047e3df08f30d9aa8b39f9d9533""]","[""9dcad11d15cc245e5dabc70ec2358208f1139f70"", ""9dcad11d15cc245e5dabc70ec2358208f1139f70"", ""a2a51fd5b290f9fd0d1f9205256d33eacba0c4e6"", ""2ec99513585fa81b368b7ede0183cc73436f33c5"", ""b523d065b505435167aeeb8ac570753d31f61486""]","[""Basic Factual Accuracy"", ""Basic Factual Accuracy"", ""Basic Factual Accuracy"", ""Basic Factual Accuracy"", ""Basic Factual Accuracy""]"
metric_rubric,dev,366f771fb1138b0905e97bab826c67ac20cf7cb2,40,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tau1,"[""0ce247e0de711805c743e7e99382dc8d2fb4593a"", ""0e02bd863554bbd67bdb44ef1f4ca3d8f75efbf9"", ""18c5df34b40da1e1f9cb84a5efd33a149ad0da21"", ""1ab82ed57ffbffe927fd5019c7e8c6f8b9ae5cb0"", ""2161f032a42bd67f3ad128f74052af47b10d5eb0""]","[""e9eed454440c46c02b5f277a4e07dca9df17a713"", ""7295afb9c4022f59a3b8b3e7ad39fe7f9a8b5701"", ""c305b07d3e5049944f2cbd8512d5e2a0d2096f3d"", ""af118a044e3b1291ec846f46ee9e224b55ec6e7a"", ""cfb26a1ae869d03990b3020ce7e70075cd0c65dc""]","[""Personalization, Adaptation & Learning Support"", ""Personalization, Adaptation & Learning Support"", ""Personalization, Adaptation & Learning Support"", ""Personalization, Adaptation & Learning Support"", ""Personalization, Adaptation & Learning Support""]"
metric_rubric,dev,4245ce2c3bb4a4e88fb0fa96d95b4d845e9b0e13,30,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tau1,"[""1aeef6741398006350b8b3301e05b3e3a4ff2b57"", ""2058d90d7868632a64ce73c7ce394556d4bfd060"", ""2213d699b1f910533c7acc3fa94e0a39be51694e"", ""31881c483e1c1ec37c250e1660678aaeedf6b99c"", ""319b18e60a2d998aa62c179158604f83d1a468bd""]","[""7fbb27443c683b93e375c9423d106612d34f5fce"", ""b0da9c125b65bfebc8e09ded7ca84db38fdc06ae"", ""b0da9c125b65bfebc8e09ded7ca84db38fdc06ae"", ""985d78ba4991a939fdc1da22aedc7db26d96a046"", ""bea4c701b5b8016ddc3f538300508271dc4dda99""]","[""Domain Knowledge Accuracy"", ""Domain Knowledge Accuracy"", ""Domain Knowledge Accuracy"", ""Domain Knowledge Accuracy"", ""Domain Knowledge Accuracy""]"
metric_rubric,dev,48cf9aad290eff5fe17ac3def7b0dbbc99f93795,50,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tau1,"[""03d911f33db9c7b54892f2b1a8ca1197e41354c1"", ""0f4aca6d0c04bab4aae3e576f33ab84d3675934d"", ""14bcc38ca9ba3a632bf357542df42ec1307aba70"", ""15a5c95f8d439088d6b196caf73638e76f0cdfda"", ""1a158110b668cbe4fac1ffc0423cb11c4fc73e2a""]","[""2d32cd48b30f377b72a5069840cb071adf7553ca"", ""fb39ec4c6f2f2003805ff213bc0dfbf8ce1be2df"", ""9cf4454fa7d0f685a64a0967fe74cf6967ba4589"", ""b523d065b505435167aeeb8ac570753d31f61486"", ""c6f22cd80053c6902385b62c5044122204f5cfb6""]","[""Scenario Element Integration"", ""Scenario Element Integration"", ""Scenario Element Integration"", ""Scenario Element Integration"", ""Scenario Element Integration""]"
metric_rubric,dev,4aef082a1cbd1aa43342aa5c9a71d55657716f79,40,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tau1,"[""050f125c5e01db36bfdf94540457c87a0724bdff"", ""0aaf39ad6c02e6ae4963e2255bdf55dc096aecb8"", ""0e85df678d2092614f074c1c9abafdbde1b0b352"", ""163e13fed61f40abae66fe52c3b2b6b0ddcff584"", ""19afccebddb0e7b667e153563142d3558cfe7a93""]","[""9dcad11d15cc245e5dabc70ec2358208f1139f70"", ""01e981e006d5cc3c46452c8e47a7071211cd9c78"", ""01e981e006d5cc3c46452c8e47a7071211cd9c78"", ""2d32cd48b30f377b72a5069840cb071adf7553ca"", ""fdee3eafe1a0b0c9952436eb5c8fd2bb759f6b98""]","[""Reasoning Process Rigor"", ""Reasoning Process Rigor"", ""Reasoning Process Rigor"", ""Reasoning Process Rigor"", ""Reasoning Process Rigor""]"
metric_rubric,dev,6049ce916c273a4efb631c2463ec9a860ecb1d16,16,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tau1,"[""08878a554232c03876dcd910306e1aead6bc04c4"", ""17b2ac651081219e46d26ed2caee675d63e8e54b"", ""1a67eecdaf74f2088dc0d0122ffbd507d87e6ec4"", ""23e578091eb772078e8e3c2d06db2cf60379410a"", ""3fcd5f76dae69b2471d0757a6a599f41f21355b4""]","[""dce5454bf2b5c13c559f20834dd7587652290d56"", ""dce5454bf2b5c13c559f20834dd7587652290d56"", ""dce5454bf2b5c13c559f20834dd7587652290d56"", ""c6f22cd80053c6902385b62c5044122204f5cfb6"", ""f0c5d4db7f494adcb9a74877d7432cc57370c219""]","[""Motivation, Guidance & Positive Feedback"", ""Motivation, Guidance & Positive Feedback"", ""Motivation, Guidance & Positive Feedback"", ""Motivation, Guidance & Positive Feedback"", ""Motivation, Guidance & Positive Feedback""]"
metric_rubric,dev,6eabcf80dc70f9e7ec66a231afe7c9be86cea1ca,115,23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tau1,"[""02257ff2c77501987e43989cc8c71a017fb39dad"", ""0525eeb3debdf218d99f9fb489738873d8788cea"", ""079ea342cccf68aed2ef06f1585d82aab1079558"", ""096af3eaf9413160d2c1faee1be36f3106ca7bbc"", ""09bda9e251bb85ffe968f63e24305e35669887f8""]","[""14ba3cb00f998348fe1c491eab066379d3bf192b"", ""9d1179a873f8e7454e4075453ea96fee9e73ecff"", ""8f1c5aeed95abdf2d61b5100731052698e7f33a9"", ""985d78ba4991a939fdc1da22aedc7db26d96a046"", ""cfb26a1ae869d03990b3020ce7e70075cd0c65dc""]","[""Instruction Following & Task Completion"", ""Instruction Following & Task Completion"", ""Instruction Following & Task Completion"", ""Instruction Following & Task Completion"", ""Instruction Following & Task Completion""]"
metric_rubric,dev,774c9426767fd8594a1d5297928bcc182e67bb49,25,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tau1,"[""13664f7c3034b3fe0a9e64cc4346abecb67b9c4a"", ""1b8a3ddece0727927a9d1d06c3ca7ebc8ab2b4d7"", ""1bfed681c8635373df721e395168f6b0e8c295a5"", ""2941ddc83908859b94adc63b1db6be55cb157e01"", ""32fa3d2704ef491ae8ed42da82419fea6b040869""]","[""b0da9c125b65bfebc8e09ded7ca84db38fdc06ae"", ""7fbb27443c683b93e375c9423d106612d34f5fce"", ""b0da9c125b65bfebc8e09ded7ca84db38fdc06ae"", ""7fbb27443c683b93e375c9423d106612d34f5fce"", ""7fbb27443c683b93e375c9423d106612d34f5fce""]","[""Role & Tone Consistency"", ""Role & Tone Consistency"", ""Role & Tone Consistency"", ""Role & Tone Consistency"", ""Role & Tone Consistency""]"
metric_rubric,dev,83f6981cfd3f16e25941e1452261ca5394e2962c,55,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tau1,"[""0be55a7eed07d9967a869a1769c844eb9a7f792e"", ""0cb99948c8ab495d1a97aaaa416412554b561a09"", ""0d1b1588f0fcf0b1b3bd1c8f17d0412a21dd7475"", ""0dc6906fee0bb1c5aed6b972356f92f74351371a"", ""10ddb194dc8a7b401723ce4674bd7fe1ff7507a5""]","[""bd2b8ecc9401f3b7b41a53bb89b2c8375428ff11"", ""b0da9c125b65bfebc8e09ded7ca84db38fdc06ae"", ""7fbb27443c683b93e375c9423d106612d34f5fce"", ""8f1c5aeed95abdf2d61b5100731052698e7f33a9"", ""985d78ba4991a939fdc1da22aedc7db26d96a046""]","[""Clarity, Simplicity & Inspiration"", ""Clarity, Simplicity & Inspiration"", ""Clarity, Simplicity & Inspiration"", ""Clarity, Simplicity & Inspiration"", ""Clarity, Simplicity & Inspiration""]"
