split_name,split,subject_canonical,count,pct_within_split
paper_like_triple_seed42,train,History,173,0.065185
paper_like_triple_seed42,train,Physics,171,0.064431
paper_like_triple_seed42,train,Basic Medicine,159,0.05991
paper_like_triple_seed42,train,Mathematics,158,0.059533
paper_like_triple_seed42,train,Aquaculture,143,0.053881
paper_like_triple_seed42,train,Literature and Art,143,0.053881
paper_like_triple_seed42,train,Chemistry,140,0.052751
paper_like_triple_seed42,train,Biology,130,0.048983
paper_like_triple_seed42,train,Theoretical Economics,130,0.048983
paper_like_triple_seed42,train,Psychology,124,0.046722
paper_like_triple_seed42,train,Business Administration,123,0.046345
paper_like_triple_seed42,train,Public Administration,119,0.044838
paper_like_triple_seed42,train,Crop Science,98,0.036925
paper_like_triple_seed42,train,English,95,0.035795
paper_like_triple_seed42,train,Computer Science,95,0.035795
paper_like_triple_seed42,train,General Pedagogy,91,0.034288
paper_like_triple_seed42,train,Military Science,86,0.032404
paper_like_triple_seed42,train,Chinese,84,0.03165
paper_like_triple_seed42,train,Geography,72,0.027129
paper_like_triple_seed42,train,Physical Education,66,0.024868
paper_like_triple_seed42,train,Clinical Medicine,64,0.024115
paper_like_triple_seed42,train,Applied Economics,55,0.020723
paper_like_triple_seed42,train,Law,52,0.019593
paper_like_triple_seed42,train,Automation,47,0.017709
paper_like_triple_seed42,train,Sociology,36,0.013564
paper_like_triple_seed42,dev,Mathematics,54,0.081325
paper_like_triple_seed42,dev,Chemistry,46,0.069277
paper_like_triple_seed42,dev,History,44,0.066265
paper_like_triple_seed42,dev,Biology,42,0.063253
paper_like_triple_seed42,dev,Basic Medicine,39,0.058735
paper_like_triple_seed42,dev,Literature and Art,39,0.058735
paper_like_triple_seed42,dev,Physics,36,0.054217
paper_like_triple_seed42,dev,Theoretical Economics,29,0.043675
paper_like_triple_seed42,dev,Business Administration,28,0.042169
paper_like_triple_seed42,dev,Aquaculture,27,0.040663
paper_like_triple_seed42,dev,Computer Science,27,0.040663
paper_like_triple_seed42,dev,Psychology,27,0.040663
paper_like_triple_seed42,dev,Public Administration,26,0.039157
paper_like_triple_seed42,dev,Chinese,23,0.034639
paper_like_triple_seed42,dev,Military Science,23,0.034639
paper_like_triple_seed42,dev,Geography,21,0.031627
paper_like_triple_seed42,dev,Crop Science,19,0.028614
paper_like_triple_seed42,dev,Sociology,17,0.025602
paper_like_triple_seed42,dev,Clinical Medicine,17,0.025602
paper_like_triple_seed42,dev,English,16,0.024096
paper_like_triple_seed42,dev,General Pedagogy,16,0.024096
paper_like_triple_seed42,dev,Law,14,0.021084
paper_like_triple_seed42,dev,Applied Economics,13,0.019578
paper_like_triple_seed42,dev,Physical Education,13,0.019578
paper_like_triple_seed42,dev,Automation,8,0.012048
paper_like_triple_seed42,test,History,151,0.068079
paper_like_triple_seed42,test,Physics,146,0.065825
paper_like_triple_seed42,test,Public Administration,130,0.058611
paper_like_triple_seed42,test,Psychology,123,0.055455
paper_like_triple_seed42,test,Aquaculture,115,0.051849
paper_like_triple_seed42,test,Mathematics,111,0.050045
paper_like_triple_seed42,test,Basic Medicine,111,0.050045
paper_like_triple_seed42,test,Biology,110,0.049594
paper_like_triple_seed42,test,Literature and Art,105,0.04734
paper_like_triple_seed42,test,Chemistry,104,0.046889
paper_like_triple_seed42,test,Business Administration,104,0.046889
paper_like_triple_seed42,test,Computer Science,102,0.045987
paper_like_triple_seed42,test,Crop Science,94,0.042381
paper_like_triple_seed42,test,Applied Economics,77,0.034716
paper_like_triple_seed42,test,Geography,77,0.034716
paper_like_triple_seed42,test,Law,75,0.033814
paper_like_triple_seed42,test,General Pedagogy,74,0.033363
paper_like_triple_seed42,test,Physical Education,66,0.029757
paper_like_triple_seed42,test,English,64,0.028855
paper_like_triple_seed42,test,Military Science,56,0.025248
paper_like_triple_seed42,test,Chinese,52,0.023445
paper_like_triple_seed42,test,Theoretical Economics,52,0.023445
paper_like_triple_seed42,test,Clinical Medicine,52,0.023445
paper_like_triple_seed42,test,Automation,35,0.01578
paper_like_triple_seed42,test,Sociology,32,0.014427
question_seed42,train,Physics,240,0.072159
question_seed42,train,Public Administration,210,0.063139
question_seed42,train,Mathematics,203,0.061034
question_seed42,train,Aquaculture,191,0.057426
question_seed42,train,Psychology,184,0.055322
question_seed42,train,Biology,182,0.05472
question_seed42,train,Basic Medicine,174,0.052315
question_seed42,train,Literature and Art,164,0.049308
question_seed42,train,History,148,0.044498
question_seed42,train,General Pedagogy,146,0.043897
question_seed42,train,Chemistry,145,0.043596
question_seed42,train,Physical Education,145,0.043596
question_seed42,train,Military Science,135,0.040589
question_seed42,train,Crop Science,130,0.039086
question_seed42,train,Theoretical Economics,126,0.037883
question_seed42,train,Business Administration,120,0.036079
question_seed42,train,Computer Science,109,0.032772
question_seed42,train,Clinical Medicine,108,0.032471
question_seed42,train,Law,106,0.03187
question_seed42,train,English,95,0.028563
question_seed42,train,Applied Economics,75,0.02255
question_seed42,train,Geography,70,0.021046
question_seed42,train,Chinese,65,0.019543
question_seed42,train,Sociology,55,0.016536
question_seed42,dev,Literature and Art,123,0.111111
question_seed42,dev,Biology,100,0.090334
question_seed42,dev,Physics,98,0.088528
question_seed42,dev,Mathematics,90,0.081301
question_seed42,dev,Business Administration,90,0.081301
question_seed42,dev,Basic Medicine,65,0.058717
question_seed42,dev,Crop Science,56,0.050587
question_seed42,dev,History,50,0.045167
question_seed42,dev,Public Administration,40,0.036134
question_seed42,dev,General Pedagogy,35,0.031617
question_seed42,dev,Applied Economics,35,0.031617
question_seed42,dev,Chemistry,35,0.031617
question_seed42,dev,Psychology,35,0.031617
question_seed42,dev,Law,35,0.031617
question_seed42,dev,Aquaculture,35,0.031617
question_seed42,dev,Military Science,30,0.0271
question_seed42,dev,Theoretical Economics,30,0.0271
question_seed42,dev,Automation,25,0.022584
question_seed42,dev,Clinical Medicine,25,0.022584
question_seed42,dev,Chinese,25,0.022584
question_seed42,dev,Computer Science,20,0.018067
question_seed42,dev,Geography,15,0.01355
question_seed42,dev,English,15,0.01355
question_seed42,test,History,170,0.154125
question_seed42,test,Chemistry,110,0.099728
question_seed42,test,Computer Science,95,0.086129
question_seed42,test,Geography,85,0.077063
question_seed42,test,Basic Medicine,70,0.063463
question_seed42,test,Chinese,69,0.062557
question_seed42,test,Automation,65,0.05893
question_seed42,test,English,65,0.05893
question_seed42,test,Aquaculture,59,0.05349
question_seed42,test,Theoretical Economics,55,0.049864
question_seed42,test,Psychology,55,0.049864
question_seed42,test,Business Administration,45,0.040798
question_seed42,test,Applied Economics,35,0.031732
question_seed42,test,Sociology,30,0.027199
question_seed42,test,Mathematics,30,0.027199
question_seed42,test,Public Administration,25,0.022665
question_seed42,test,Crop Science,25,0.022665
question_seed42,test,Physics,15,0.013599
